,Cust_ID,Year,Revenue,Product,Customer,# Transactions
1421,CUSTOMER 3243,2011,0.01,FraudFinder 2.0.,CUSTOMER 3243,78
1423,CUSTOMER 3243,2011,0.01,Other,CUSTOMER 3243,78
1425,CUSTOMER 885,2010,2465.2299999999996,FraudFinder,CUSTOMER 885,57607
1435,CUSTOMER 1219,2011,2023.6200000000003,FraudFinder,CUSTOMER 1219,41902
1444,CUSTOMER 2401,2012,963.82,FraudFinder,CUSTOMER 2401,101449
1447,CUSTOMER 3126,2010,2421.2400000000002,FraudFinder,CUSTOMER 3126,167033
1455,CUSTOMER 1064,2012,704.76,FraudFinder,CUSTOMER 1064,125191
1456,CUSTOMER 1506,2010,2393.3100000000004,FraudFinder,CUSTOMER 1506,4627
1463,CUSTOMER 1506,2012,1577.0,FraudFinder,CUSTOMER 1506,237697
1466,CUSTOMER 1506,2011,1414.8199999999997,FraudFinder,CUSTOMER 1506,332757
1472,CUSTOMER 1411,2010,2388.44,FraudFinder,CUSTOMER 1411,259209
1477,CUSTOMER 1629,2010,2342.55,FraudFinder,CUSTOMER 1629,413966
1482,CUSTOMER 2301,2012,195.18,FraudFinder,CUSTOMER 2301,1247
1483,CUSTOMER 4145,2011,2330.6899999999996,FraudFinder,CUSTOMER 4145,120400
1487,CUSTOMER 2864,2010,2323.5,FraudFinder,CUSTOMER 2864,5106602
1490,CUSTOMER 3206,2011,2314.9500000000003,FraudFinder,CUSTOMER 3206,3160
1495,CUSTOMER 3206,2012,610.26,FraudFinder,CUSTOMER 3206,933
1498,CUSTOMER 2452,2011,385.19000000000005,FraudFinder,CUSTOMER 2452,467
1504,CUSTOMER 2191,2010,2275.96,FraudFinder,CUSTOMER 2191,21607
1508,CUSTOMER 2191,2011,385.18,FraudFinder,CUSTOMER 2191,450
1512,CUSTOMER 1234,2012,625.8,FraudFinder,CUSTOMER 1234,4016304
1522,CUSTOMER 802,2012,2255.1300000000006,FraudFinder,CUSTOMER 802,566
1523,CUSTOMER 802,2011,1879.2700000000004,FraudFinder,CUSTOMER 802,14
1529,CUSTOMER 2002,2010,2251.96,FraudFinder,CUSTOMER 2002,189028
1534,CUSTOMER 3433,2011,378.94,FraudFinder,CUSTOMER 3433,251824
1536,CUSTOMER 2391,2011,2221.8999999999996,FraudFinder,CUSTOMER 2391,158275
1541,CUSTOMER 2391,2012,568.37,FraudFinder,CUSTOMER 2391,327240
1542,CUSTOMER 2553,2010,2219.46,FraudFinder,CUSTOMER 2553,626817
1546,CUSTOMER 886,2012,1014.0999999999999,FraudFinder,CUSTOMER 886,73611
1549,CUSTOMER 1514,2010,2208.72,FraudFinder,CUSTOMER 1514,1
1556,CUSTOMER 1935,2010,2201.5899999999997,FraudFinder,CUSTOMER 1935,192609
1560,CUSTOMER 1935,2011,1644.38,FraudFinder,CUSTOMER 1935,243036
1562,CUSTOMER 3709,2010,2196.07,FraudFinder,CUSTOMER 3709,22
1566,CUSTOMER 3709,2011,1720.5199999999998,FraudFinder,CUSTOMER 3709,140551
1570,CUSTOMER 3709,2012,1427.9499999999998,FraudFinder,CUSTOMER 3709,109548
1575,CUSTOMER 3551,2011,2176.76,FraudFinder,CUSTOMER 3551,841164
1580,CUSTOMER 3551,2012,189.66,FraudFinder,CUSTOMER 3551,725871
1597,CUSTOMER 3287,2011,1555.88,FraudFinder,CUSTOMER 3287,59400
1601,CUSTOMER 3287,2012,1454.16,FraudFinder,CUSTOMER 3287,89701
1607,CUSTOMER 3761,2011,1327.4499999999998,FraudFinder,CUSTOMER 3761,1084122
1609,CUSTOMER 34,2010,2150.12,FraudFinder,CUSTOMER 34,3
1613,CUSTOMER 34,2011,1879.2900000000002,FraudFinder,CUSTOMER 34,132437
1615,CUSTOMER 3265,2010,2144.36,FraudFinder,CUSTOMER 3265,139525
1619,CUSTOMER 3265,2011,1706.04,FraudFinder,CUSTOMER 3265,46403
1623,CUSTOMER 2977,2010,2118.3799999999997,FraudFinder,CUSTOMER 2977,1941434
1631,CUSTOMER 3522,2012,2099.79,FraudFinder,CUSTOMER 3522,39456
1632,CUSTOMER 3522,2011,1837.0000000000002,FraudFinder,CUSTOMER 3522,21355
1639,CUSTOMER 2470,2011,2085.9700000000003,FraudFinder,CUSTOMER 2470,1019133
1643,CUSTOMER 2801,2011,2085.9700000000003,FraudFinder,CUSTOMER 2801,62020
1648,CUSTOMER 1626,2011,2085.9700000000003,FraudFinder,CUSTOMER 1626,21446
1653,CUSTOMER 3000,2010,2083.7000000000003,FraudFinder,CUSTOMER 3000,638024
1657,CUSTOMER 3000,2011,665.88,FraudFinder,CUSTOMER 3000,2564676
1663,CUSTOMER 2780,2011,532.6800000000001,FraudFinder,CUSTOMER 2780,210246
1665,CUSTOMER 372,2010,2078.09,FraudFinder,CUSTOMER 372,521987
1669,CUSTOMER 372,2011,1327.4499999999998,FraudFinder,CUSTOMER 372,609763
1671,CUSTOMER 3503,2011,2077.9500000000003,FraudFinder,CUSTOMER 3503,3
1679,CUSTOMER 2416,2012,2077.4700000000003,FraudFinder,CUSTOMER 2416,40350
1681,CUSTOMER 2416,2011,1888.5599999999997,FraudFinder,CUSTOMER 2416,39442
1683,CUSTOMER 2416,2010,1641.15,FraudFinder,CUSTOMER 2416,17981
1692,CUSTOMER 404,2010,2066.16,FraudFinder,CUSTOMER 404,755299
1696,CUSTOMER 404,2011,710.24,FraudFinder,CUSTOMER 404,1320388
1698,CUSTOMER 3093,2010,2062.91,FraudFinder,CUSTOMER 3093,48099
1703,CUSTOMER 2225,2012,2060.5800000000004,FraudFinder,CUSTOMER 2225,227949
1705,CUSTOMER 2225,2011,1873.1999999999998,FraudFinder,CUSTOMER 2225,265222
1707,CUSTOMER 2225,2010,1267.6799999999996,FraudFinder,CUSTOMER 2225,324102
1720,CUSTOMER 959,2011,2039.5600000000002,FraudFinder,CUSTOMER 959,1337
1725,CUSTOMER 959,2012,568.92,FraudFinder,CUSTOMER 959,1417
1727,CUSTOMER 3476,2012,2011.4400000000003,FraudFinder,CUSTOMER 3476,136133
1728,CUSTOMER 3476,2011,1799.4399999999998,FraudFinder,CUSTOMER 3476,149496
1734,CUSTOMER 3934,2011,2009.1000000000004,FraudFinder,CUSTOMER 3934,433799
1737,CUSTOMER 3934,2012,1409.49,FraudFinder,CUSTOMER 3934,90711
1744,CUSTOMER 2767,2011,1409.47,FraudFinder,CUSTOMER 2767,107868
1750,CUSTOMER 2380,2011,1409.47,FraudFinder,CUSTOMER 2380,13
1771,CUSTOMER 2489,2012,1949.9999999999998,FraudFinder,CUSTOMER 2489,166017
1772,CUSTOMER 2489,2011,1518.6799999999998,FraudFinder,CUSTOMER 2489,146939
1787,CUSTOMER 1815,2010,1936.9599999999998,FraudFinder,CUSTOMER 1815,913903
1791,CUSTOMER 1815,2011,665.88,FraudFinder,CUSTOMER 1815,1014726
1793,CUSTOMER 2631,2010,1924.2000000000003,FraudFinder,CUSTOMER 2631,605350
1797,CUSTOMER 2631,2011,1327.4499999999998,FraudFinder,CUSTOMER 2631,558568
1801,CUSTOMER 150,2011,484.26,FraudFinder,CUSTOMER 150,612587
1805,CUSTOMER 233,2012,1351.2,FraudFinder,CUSTOMER 233,50274
1806,CUSTOMER 2437,2010,1902.64,FraudFinder,CUSTOMER 2437,635197
1809,CUSTOMER 1538,2011,1896.3500000000004,FraudFinder,CUSTOMER 1538,987132
1819,CUSTOMER 1537,2011,1896.3400000000001,FraudFinder,CUSTOMER 1537,1726729
1826,CUSTOMER 1380,2011,1879.2900000000002,FraudFinder,CUSTOMER 1380,3209
1828,CUSTOMER 1380,2010,1666.1599999999996,FraudFinder,CUSTOMER 1380,17
1832,CUSTOMER 1557,2012,1877.7900000000002,FraudFinder,CUSTOMER 1557,52641
1833,CUSTOMER 1557,2011,1707.05,FraudFinder,CUSTOMER 1557,36416
1848,CUSTOMER 3565,2011,1870.0799999999997,FraudFinder,CUSTOMER 3565,129
1860,CUSTOMER 3782,2012,1365.9300000000003,FraudFinder,CUSTOMER 3782,534446
1861,CUSTOMER 3782,2012,-357.75,FraudFinder 2.0.,CUSTOMER 3782,534446
1863,CUSTOMER 3782,2012,-357.75,Other,CUSTOMER 3782,534446
1867,CUSTOMER 2263,2012,168.9,FraudFinder,CUSTOMER 2263,27222
1868,CUSTOMER 1484,2011,1837.2600000000002,FraudFinder,CUSTOMER 1484,4
1872,CUSTOMER 1680,2010,1833.9800000000002,FraudFinder,CUSTOMER 1680,25
1875,CUSTOMER 1680,2011,1833.9499999999998,FraudFinder,CUSTOMER 1680,394465
1883,CUSTOMER 3809,2010,1821.24,FraudFinder,CUSTOMER 3809,1033397
1886,CUSTOMER 3809,2011,455.34000000000003,FraudFinder,CUSTOMER 3809,958208
1887,CUSTOMER 1556,2010,1815.7199999999996,FraudFinder,CUSTOMER 1556,1777965
1899,CUSTOMER 742,2012,1801.7900000000004,FraudFinder,CUSTOMER 742,654
1901,CUSTOMER 742,2011,1637.9200000000003,FraudFinder,CUSTOMER 742,1142
1903,CUSTOMER 742,2010,1326.33,FraudFinder,CUSTOMER 742,20319
1911,CUSTOMER 3405,2011,1789.87,FraudFinder,CUSTOMER 3405,2900
1916,CUSTOMER 3405,2012,153.54,FraudFinder,CUSTOMER 3405,35310
1917,CUSTOMER 548,2010,1789.08,FraudFinder,CUSTOMER 548,373
1923,CUSTOMER 548,2011,320.22,FraudFinder,CUSTOMER 548,616
1925,CUSTOMER 2565,2011,1787.3300000000004,FraudFinder,CUSTOMER 2565,2022785
1943,CUSTOMER 3889,2011,453.9399999999998,FraudFinder,CUSTOMER 3889,38826
1946,CUSTOMER 3541,2011,1771.6499999999996,FraudFinder,CUSTOMER 3541,1004268
1953,CUSTOMER 395,2012,948.18,FraudFinder,CUSTOMER 395,115941
1954,CUSTOMER 1415,2011,1769.6499999999999,FraudFinder,CUSTOMER 1415,342192
1959,CUSTOMER 1415,2012,153.54,FraudFinder,CUSTOMER 1415,64780
1962,CUSTOMER 1090,2011,1706.7000000000003,FraudFinder,CUSTOMER 1090,2190
1964,CUSTOMER 1090,2011,0.03,FraudFinder 2.0.,CUSTOMER 1090,2190
1966,CUSTOMER 1090,2011,0.03,Other,CUSTOMER 1090,2190
1968,CUSTOMER 692,2010,1733.2599999999998,FraudFinder,CUSTOMER 692,134308
1974,CUSTOMER 3810,2011,1074.78,FraudFinder,CUSTOMER 3810,47297
1981,CUSTOMER 293,2011,1727.5199999999998,FraudFinder,CUSTOMER 293,197900
1984,CUSTOMER 293,2012,1151.58,FraudFinder,CUSTOMER 293,33618
1989,CUSTOMER 476,2012,307.08,FraudFinder,CUSTOMER 476,824771
1992,CUSTOMER 2610,2012,614.16,FraudFinder,CUSTOMER 2610,2539
1996,CUSTOMER 1123,2011,1706.7000000000003,FraudFinder,CUSTOMER 1123,197707
1998,CUSTOMER 1123,2010,1563.3899999999999,FraudFinder,CUSTOMER 1123,378462
2002,CUSTOMER 1123,2011,0.03,FraudFinder 2.0.,CUSTOMER 1123,197707
2005,CUSTOMER 1123,2011,0.03,Other,CUSTOMER 1123,197707
2008,CUSTOMER 2764,2011,1706.7000000000003,FraudFinder,CUSTOMER 2764,904976
2010,CUSTOMER 2764,2010,1386.2199999999996,FraudFinder,CUSTOMER 2764,20714
2014,CUSTOMER 2764,2011,0.03,FraudFinder 2.0.,CUSTOMER 2764,904976
2017,CUSTOMER 2764,2011,0.03,Other,CUSTOMER 2764,904976
2019,CUSTOMER 359,2011,1696.82,FraudFinder,CUSTOMER 359,509170
2024,CUSTOMER 359,2012,307.08,FraudFinder,CUSTOMER 359,70500
2030,CUSTOMER 3475,2012,307.08,FraudFinder,CUSTOMER 3475,59984
2031,CUSTOMER 3693,2011,1688.9399999999998,FraudFinder,CUSTOMER 3693,161663
2039,CUSTOMER 1925,2011,1688.9399999999998,FraudFinder,CUSTOMER 1925,61989
2040,CUSTOMER 1925,2011,1688.9399999999998,FraudFinder,CUSTOMER 1925,3
2042,CUSTOMER 1925,2010,1456.5799999999997,FraudFinder,CUSTOMER 1925,1
2043,CUSTOMER 1925,2010,1456.5799999999997,FraudFinder,CUSTOMER 1925,118856
2048,CUSTOMER 1934,2011,1688.9399999999998,FraudFinder,CUSTOMER 1934,84724
2052,CUSTOMER 155,2011,1688.9399999999998,FraudFinder,CUSTOMER 155,97
2057,CUSTOMER 2314,2011,1688.9399999999998,FraudFinder,CUSTOMER 2314,152489
2063,CUSTOMER 2855,2012,767.6999999999999,FraudFinder,CUSTOMER 2855,263412
2064,CUSTOMER 303,2011,1685.0299999999997,FraudFinder,CUSTOMER 303,48358
2069,CUSTOMER 303,2012,767.7099999999999,FraudFinder,CUSTOMER 303,11724
2074,CUSTOMER 3933,2011,418.32,FraudFinder,CUSTOMER 3933,841114
2078,CUSTOMER 2591,2010,1664.4099999999996,FraudFinder,CUSTOMER 2591,48378
2088,CUSTOMER 1149,2011,1228.32,FraudFinder,CUSTOMER 1149,564209
2090,CUSTOMER 114,2010,1662.42,FraudFinder,CUSTOMER 114,1
2094,CUSTOMER 114,2011,0.03,FraudFinder 2.0.,CUSTOMER 114,19268
2097,CUSTOMER 114,2011,0.03,Other,CUSTOMER 114,19268
2099,CUSTOMER 662,2010,1659.8500000000004,FraudFinder,CUSTOMER 662,447076
2103,CUSTOMER 662,2011,492.15000000000003,FraudFinder,CUSTOMER 662,750067
2109,CUSTOMER 994,2012,1259.04,FraudFinder,CUSTOMER 994,30058
2112,CUSTOMER 3975,2012,1651.29,FraudFinder,CUSTOMER 3975,254724
2114,CUSTOMER 3975,2011,1501.1999999999996,FraudFinder,CUSTOMER 3975,228703
2123,CUSTOMER 79,2012,1651.29,FraudFinder,CUSTOMER 79,17
2124,CUSTOMER 79,2011,1501.1999999999996,FraudFinder,CUSTOMER 79,27
2130,CUSTOMER 1685,2011,1648.1999999999998,FraudFinder,CUSTOMER 1685,42238
2138,CUSTOMER 3946,2012,418.32,FraudFinder,CUSTOMER 3946,98678
2148,CUSTOMER 2398,2011,1639.22,FraudFinder,CUSTOMER 2398,613933
2155,CUSTOMER 450,2012,1637.8600000000001,FraudFinder,CUSTOMER 450,78967
2157,CUSTOMER 450,2011,1488.9999999999998,FraudFinder,CUSTOMER 450,54548
2159,CUSTOMER 450,2010,1204.6999999999996,FraudFinder,CUSTOMER 450,328236
2167,CUSTOMER 480,2012,1637.8600000000001,FraudFinder,CUSTOMER 480,386158
2169,CUSTOMER 480,2011,1488.9999999999998,FraudFinder,CUSTOMER 480,231806
2171,CUSTOMER 480,2010,1204.6999999999996,FraudFinder,CUSTOMER 480,67954
2177,CUSTOMER 1156,2011,1631.9699999999998,FraudFinder,CUSTOMER 1156,545
2182,CUSTOMER 1156,2012,460.62,FraudFinder,CUSTOMER 1156,711
2183,CUSTOMER 2024,2012,1627.56,FraudFinder,CUSTOMER 2024,113060
2186,CUSTOMER 3110,2010,1620.6499999999996,FraudFinder,CUSTOMER 3110,6891
2190,CUSTOMER 3110,2011,1074.78,FraudFinder,CUSTOMER 3110,1500
2193,CUSTOMER 1274,2012,-433.07,FraudFinder 2.0.,CUSTOMER 1274,1626197
2194,CUSTOMER 1274,2012,-433.07,Other,CUSTOMER 1274,1626197
2197,CUSTOMER 2159,2010,1614.2,FraudFinder,CUSTOMER 2159,222391
2203,CUSTOMER 3533,2010,1613.85,FraudFinder,CUSTOMER 3533,1105538
2206,CUSTOMER 2758,2012,1611.7699999999998,FraudFinder,CUSTOMER 2758,9125
2212,CUSTOMER 954,2012,460.62,FraudFinder,CUSTOMER 954,71
2214,CUSTOMER 2107,2012,1598.8,FraudFinder,CUSTOMER 2107,358
2215,CUSTOMER 2107,2011,1407.1599999999996,FraudFinder,CUSTOMER 2107,74
2222,CUSTOMER 3170,2012,1598.8,FraudFinder,CUSTOMER 3170,63345
2223,CUSTOMER 3170,2011,1438.6099999999997,FraudFinder,CUSTOMER 3170,60648
2229,CUSTOMER 1758,2011,1583.4399999999998,FraudFinder,CUSTOMER 1758,892302
2234,CUSTOMER 1758,2012,614.16,FraudFinder,CUSTOMER 1758,566645
2236,CUSTOMER 1758,2012,-184.25,FraudFinder 2.0.,CUSTOMER 1758,566645
2238,CUSTOMER 1758,2012,-184.25,Other,CUSTOMER 1758,566645
2241,CUSTOMER 724,2011,1566.12,FraudFinder,CUSTOMER 724,317083
2248,CUSTOMER 724,2012,743.16,FraudFinder,CUSTOMER 724,1565207
2259,CUSTOMER 1883,2011,1535.48,FraudFinder,CUSTOMER 1883,117407
2261,CUSTOMER 1883,2010,1376.3399999999995,FraudFinder,CUSTOMER 1883,5245
2265,CUSTOMER 1883,2011,-0.03,FraudFinder 2.0.,CUSTOMER 1883,117407
2268,CUSTOMER 1883,2011,-0.03,Other,CUSTOMER 1883,117407
2288,CUSTOMER 2970,2011,1532.2900000000004,FraudFinder,CUSTOMER 2970,246552
2292,CUSTOMER 2970,2011,700.79,FraudFinder 2.0.,CUSTOMER 2970,246552
2294,CUSTOMER 2970,2011,700.79,Other,CUSTOMER 2970,246552
2296,CUSTOMER 112,2010,1526.3799999999994,FraudFinder,CUSTOMER 112,1
2300,CUSTOMER 112,2011,921.2399999999999,FraudFinder,CUSTOMER 112,274729
2310,CUSTOMER 3886,2011,524.68,FraudFinder,CUSTOMER 3886,320
2312,CUSTOMER 2858,2011,1518.6799999999998,FraudFinder,CUSTOMER 2858,201855
2317,CUSTOMER 2858,2012,767.6999999999999,FraudFinder,CUSTOMER 2858,1328536
2324,CUSTOMER 130,2011,1517.08,FraudFinder,CUSTOMER 130,23273
2330,CUSTOMER 2628,2012,671.25,FraudFinder,CUSTOMER 2628,31861
2331,CUSTOMER 3482,2010,1513.0999999999997,FraudFinder,CUSTOMER 3482,1
2337,CUSTOMER 1476,2011,1228.32,FraudFinder,CUSTOMER 1476,486
2339,CUSTOMER 1776,2010,1497.5999999999997,FraudFinder,CUSTOMER 1776,208034
2343,CUSTOMER 1776,2011,921.2399999999999,FraudFinder,CUSTOMER 1776,183478
2345,CUSTOMER 3669,2011,1494.03,FraudFinder,CUSTOMER 3669,550613
2350,CUSTOMER 3669,2012,131.2,FraudFinder,CUSTOMER 3669,731
2351,CUSTOMER 2973,2011,1494.01,FraudFinder,CUSTOMER 2973,65536
2356,CUSTOMER 2973,2012,262.44,FraudFinder,CUSTOMER 2973,146
2359,CUSTOMER 3026,2012,128.61,FraudFinder,CUSTOMER 3026,465647
2362,CUSTOMER 1489,2010,1489.77,FraudFinder,CUSTOMER 1489,1
2366,CUSTOMER 1489,2011,921.2399999999999,FraudFinder,CUSTOMER 1489,26941
2371,CUSTOMER 3411,2011,249.74,FraudFinder,CUSTOMER 3411,2
2376,CUSTOMER 287,2012,134.25,FraudFinder,CUSTOMER 287,337539
2389,CUSTOMER 2814,2011,1462.3700000000003,FraudFinder,CUSTOMER 2814,1027288
2399,CUSTOMER 311,2010,1452.58,FraudFinder,CUSTOMER 311,50720
2404,CUSTOMER 3638,2012,793.3,FraudFinder,CUSTOMER 3638,22601
2405,CUSTOMER 2457,2010,1440.1199999999997,FraudFinder,CUSTOMER 2457,7376
2409,CUSTOMER 2457,2011,1074.78,FraudFinder,CUSTOMER 2457,14920
2417,CUSTOMER 2300,2011,1439.91,FraudFinder,CUSTOMER 2300,77659
2421,CUSTOMER 3025,2011,1438.6099999999997,FraudFinder,CUSTOMER 3025,138
2426,CUSTOMER 3025,2012,122.05,FraudFinder,CUSTOMER 3025,154
2427,CUSTOMER 917,2010,1438.2000000000003,FraudFinder,CUSTOMER 917,118096
2431,CUSTOMER 917,2011,921.2399999999999,FraudFinder,CUSTOMER 917,5977
2433,CUSTOMER 3166,2010,1434.4600000000003,FraudFinder,CUSTOMER 3166,265776
2437,CUSTOMER 3166,2011,884.1799999999998,FraudFinder,CUSTOMER 3166,78778
2439,CUSTOMER 4035,2011,1433.3799999999997,FraudFinder,CUSTOMER 4035,499886
2440,CUSTOMER 4035,2011,1433.3799999999997,FraudFinder,CUSTOMER 4035,597741
2447,CUSTOMER 4035,2012,122.05,FraudFinder,CUSTOMER 4035,688299
2448,CUSTOMER 1264,2011,1430.7399999999998,FraudFinder,CUSTOMER 1264,456392
2453,CUSTOMER 1264,2012,366.15,FraudFinder,CUSTOMER 1264,562043
2454,CUSTOMER 3091,2010,1430.72,FraudFinder,CUSTOMER 3091,170498
2458,CUSTOMER 3091,2011,596.16,FraudFinder,CUSTOMER 3091,128700
2460,CUSTOMER 3353,2012,1421.5100000000002,FraudFinder,CUSTOMER 3353,12903
2467,CUSTOMER 1553,2011,486.12,FraudFinder,CUSTOMER 1553,1415894
2475,CUSTOMER 3579,2011,1411.4499999999998,FraudFinder,CUSTOMER 3579,18033
2480,CUSTOMER 3579,2012,122.05,FraudFinder,CUSTOMER 3579,32112
2483,CUSTOMER 3158,2011,1043.6000000000001,FraudFinder,CUSTOMER 3158,117096
2485,CUSTOMER 2052,2010,1403.4099999999996,FraudFinder,CUSTOMER 2052,2959
2489,CUSTOMER 2052,2011,1074.78,FraudFinder,CUSTOMER 2052,14276
2495,CUSTOMER 3301,2011,1074.78,FraudFinder,CUSTOMER 3301,21799
2497,CUSTOMER 2397,2010,1403.4099999999996,FraudFinder,CUSTOMER 2397,1
2501,CUSTOMER 2397,2011,1074.78,FraudFinder,CUSTOMER 2397,36685
2511,CUSTOMER 1272,2012,-124.85,FraudFinder,CUSTOMER 1272,69
2516,CUSTOMER 46,2010,1387.7599999999998,FraudFinder,CUSTOMER 46,701848
2520,CUSTOMER 46,2011,1074.78,FraudFinder,CUSTOMER 46,297725
2524,CUSTOMER 46,2012,-371.57,FraudFinder 2.0.,CUSTOMER 46,154020
2527,CUSTOMER 46,2012,-371.57,Other,CUSTOMER 46,154020
2528,CUSTOMER 2212,2010,1385.58,FraudFinder,CUSTOMER 2212,1
2538,CUSTOMER 1420,2011,1228.32,FraudFinder,CUSTOMER 1420,2
2541,CUSTOMER 3825,2011,1381.86,FraudFinder,CUSTOMER 3825,365042
2547,CUSTOMER 2208,2011,1381.86,FraudFinder,CUSTOMER 2208,147057
2549,CUSTOMER 2208,2010,1277.9499999999996,FraudFinder,CUSTOMER 2208,303
2553,CUSTOMER 61,2011,1381.86,FraudFinder,CUSTOMER 61,267343
2555,CUSTOMER 61,2010,1277.9499999999996,FraudFinder,CUSTOMER 61,42284
2559,CUSTOMER 1288,2011,1381.86,FraudFinder,CUSTOMER 1288,85389
2561,CUSTOMER 1288,2010,1277.9499999999996,FraudFinder,CUSTOMER 1288,21732
2565,CUSTOMER 4070,2011,1381.86,FraudFinder,CUSTOMER 4070,108
2576,CUSTOMER 3539,2011,1151.5500000000002,FraudFinder,CUSTOMER 3539,6463
2582,CUSTOMER 1416,2011,1364.1899999999996,FraudFinder,CUSTOMER 1416,40
2587,CUSTOMER 1416,2012,366.15,FraudFinder,CUSTOMER 1416,140527
2588,CUSTOMER 3502,2011,1362.16,FraudFinder,CUSTOMER 3502,70505
2592,CUSTOMER 91,2011,1344.8999999999999,FraudFinder,CUSTOMER 91,246147
2596,CUSTOMER 565,2011,1342.5499999999997,FraudFinder,CUSTOMER 565,72187
2601,CUSTOMER 1587,2011,1342.5499999999997,FraudFinder,CUSTOMER 1587,332935
2607,CUSTOMER 366,2011,1342.5499999999997,FraudFinder,CUSTOMER 366,64385
2612,CUSTOMER 2908,2010,1340.6799999999996,FraudFinder,CUSTOMER 2908,2
2620,CUSTOMER 3036,2011,1228.32,FraudFinder,CUSTOMER 3036,170307
2622,CUSTOMER 2938,2010,1340.35,FraudFinder,CUSTOMER 2938,1018412
2635,CUSTOMER 688,2011,557.76,FraudFinder,CUSTOMER 688,44306
2639,CUSTOMER 3021,2011,732.3,FraudFinder,CUSTOMER 3021,411557
2643,CUSTOMER 715,2011,921.2399999999999,FraudFinder,CUSTOMER 715,84942
2645,CUSTOMER 1195,2010,1332.67,FraudFinder,CUSTOMER 1195,439486
2649,CUSTOMER 1195,2011,1074.78,FraudFinder,CUSTOMER 1195,554285
2657,CUSTOMER 1784,2012,122.05,FraudFinder,CUSTOMER 1784,806635
2664,CUSTOMER 1684,2010,1329.13,FraudFinder,CUSTOMER 1684,30140
2668,CUSTOMER 1684,2011,110.77,FraudFinder,CUSTOMER 1684,724
2670,CUSTOMER 875,2010,1328.3400000000001,FraudFinder,CUSTOMER 875,306230
2674,CUSTOMER 875,2011,332.29,FraudFinder,CUSTOMER 875,288744
2691,CUSTOMER 3489,2011,854.3499999999999,FraudFinder,CUSTOMER 3489,395232
2696,CUSTOMER 163,2011,221.93,FraudFinder,CUSTOMER 163,23036
2700,CUSTOMER 1445,2011,1008.4399999999998,FraudFinder,CUSTOMER 1445,706585
2702,CUSTOMER 2883,2011,1305.15,FraudFinder,CUSTOMER 2883,21738
2707,CUSTOMER 2883,2012,366.15,FraudFinder,CUSTOMER 2883,17773
2708,CUSTOMER 3407,2011,1305.15,FraudFinder,CUSTOMER 3407,3800
2713,CUSTOMER 3407,2012,366.15,FraudFinder,CUSTOMER 3407,17
2714,CUSTOMER 1419,2010,1303.3899999999999,FraudFinder,CUSTOMER 1419,89195
2718,CUSTOMER 1419,2011,854.3499999999999,FraudFinder,CUSTOMER 1419,249994
2720,CUSTOMER 537,2010,1299.1899999999998,FraudFinder,CUSTOMER 537,951
2722,CUSTOMER 3681,2012,1294.93,FraudFinder,CUSTOMER 3681,156154
2729,CUSTOMER 899,2010,1292.5199999999998,FraudFinder,CUSTOMER 899,1
2734,CUSTOMER 899,2011,868.14,FraudFinder,CUSTOMER 899,97787
2736,CUSTOMER 33,2010,1291.36,FraudFinder,CUSTOMER 33,1377341
2739,CUSTOMER 3365,2012,1289.4,FraudFinder,CUSTOMER 3365,52
2740,CUSTOMER 3365,2011,1164.6600000000003,FraudFinder,CUSTOMER 3365,11
2748,CUSTOMER 1709,2012,1289.4,FraudFinder,CUSTOMER 1709,2258
2750,CUSTOMER 1709,2011,1181.1600000000003,FraudFinder,CUSTOMER 1709,1483
2752,CUSTOMER 1709,2010,1115.0900000000001,FraudFinder,CUSTOMER 1709,13748
2758,CUSTOMER 3500,2010,1280.9599999999998,FraudFinder,CUSTOMER 3500,234147
2762,CUSTOMER 3500,2011,554.81,FraudFinder,CUSTOMER 3500,309857
2766,CUSTOMER 2559,2011,849.74,FraudFinder,CUSTOMER 2559,59
2768,CUSTOMER 244,2010,1277.1999999999998,FraudFinder,CUSTOMER 244,955104
2772,CUSTOMER 244,2011,732.3,FraudFinder,CUSTOMER 244,1367105
2776,CUSTOMER 194,2012,1276.83,FraudFinder,CUSTOMER 194,4562
2778,CUSTOMER 194,2011,1160.76,FraudFinder,CUSTOMER 194,4666
2780,CUSTOMER 194,2010,958.6200000000002,FraudFinder,CUSTOMER 194,9353
2786,CUSTOMER 2282,2010,1270.86,FraudFinder,CUSTOMER 2282,3507184
2790,CUSTOMER 2033,2012,1266.3600000000001,FraudFinder,CUSTOMER 2033,139
2792,CUSTOMER 2033,2011,1151.24,FraudFinder,CUSTOMER 2033,179
2806,CUSTOMER 3418,2011,732.3,FraudFinder,CUSTOMER 3418,9068
2808,CUSTOMER 787,2011,1263.78,FraudFinder,CUSTOMER 787,31404
2813,CUSTOMER 787,2012,732.3,FraudFinder,CUSTOMER 787,335
2816,CUSTOMER 477,2011,1260.5499999999997,FraudFinder,CUSTOMER 477,42
2818,CUSTOMER 3300,2010,1259.8400000000001,FraudFinder,CUSTOMER 3300,224146
2822,CUSTOMER 3300,2011,1228.32,FraudFinder,CUSTOMER 3300,188100
2824,CUSTOMER 1362,2010,1257.9,FraudFinder,CUSTOMER 1362,143334
2828,CUSTOMER 1362,2011,610.25,FraudFinder,CUSTOMER 1362,149353
2831,CUSTOMER 1457,2011,1246.3600000000001,FraudFinder,CUSTOMER 1457,302
